criminal_id,name,age,gender,aadhaar,phone,address,district,previous_firs,arrest_history,status
CR0020,Person20,48,Male,XXXX XXXX 1020,9903702569,House 20,Warangal,0,Yes,Released
CR0021,Person21,42,Male,XXXX XXXX 1021,9045333271,House 21,Medchal-Malkajgiri,5,Yes,Active
CR0022,Person22,54,Male,XXXX XXXX 1022,9653834019,House 22,Karimnagar,1,Yes,Active
CR0023,Person23,33,Female,XXXX XXXX 1023,9672396632,House 23,Medchal-Malkajgiri,1,Yes,Released
CR0024,Person24,33,Male,XXXX XXXX 1024,9476061359,House 24,Rangareddy,2,No,Released
CR0025,Person25,22,Male,XXXX XXXX 1025,9523883020,House 25,Hyderabad,2,No,Active
CR0026,Person26,29,Male,XXXX XXXX 1026,9890819247,House 26,Warangal,3,Yes,Released
CR0027,Person27,55,Male,XXXX XXXX 1027,9631073650,House 27,Rangareddy,1,No,Active
CR0028,Person28,27,Male,XXXX XXXX 1028,9558666381,House 28,Rangareddy,2,No,Released
CR0029,Person29,44,Female,XXXX XXXX 1029,9969616778,House 29,Rangareddy,1,Yes,Active
CR0030,Person30,47,Male,XXXX XXXX 1030,9836098212,House 30,Rangareddy,5,Yes,Released
CR0031,Person31,29,Female,XXXX XXXX 1031,9722715826,House 31,Rangareddy,4,No,Active
CR0032,Person32,58,Male,XXXX XXXX 1032,9016356826,House 32,Hyderabad,1,Yes,Active
CR0033,Person33,56,Male,XXXX XXXX 1033,9357055287,House 33,Hyderabad,1,No,Active
CR0034,Person34,30,Female,XXXX XXXX 1034,9309390272,House 34,Hyderabad,1,Yes,Released
CR0035,Person35,57,Male,XXXX XXXX 1035,9180492227,House 35,Warangal,0,No,Released
CR0036,Person36,24,Female,XXXX XXXX 1036,9900454376,House 36,Rangareddy,0,No,Active
CR0037,Person37,23,Female,XXXX XXXX 1037,9679477120,House 37,Warangal,3,No,Released
CR0038,Person38,49,Female,XXXX XXXX 1038,9134197258,House 38,Hyderabad,0,Yes,Active
CR0039,Person39,37,Male,XXXX XXXX 1039,9616193127,House 39,Warangal,0,No,Active
CR0040,Person40,41,Female,XXXX XXXX 1040,9911459645,House 40,Medchal-Malkajgiri,1,Yes,Released
CR0041,Person41,32,Male,XXXX XXXX 1041,9039971304,House 41,Warangal,2,No,Released
CR0042,Person42,54,Male,XXXX XXXX 1042,9080279414,House 42,Karimnagar,2,No,Active
CR0043,Person43,56,Female,XXXX XXXX 1043,9379742857,House 43,Medchal-Malkajgiri,4,No,Active
CR0044,Person44,59,Male,XXXX XXXX 1044,9883562942,House 44,Hyderabad,0,No,Released
CR0045,Person45,56,Female,XXXX XXXX 1045,9645053247,House 45,Warangal,0,Yes,Active
CR0046,Person46,42,Female,XXXX XXXX 1046,9236598481,House 46,Rangareddy,0,No,Active
CR0047,Person47,34,Female,XXXX XXXX 1047,9303303448,House 47,Medchal-Malkajgiri,0,No,Released
CR0048,Person48,56,Male,XXXX XXXX 1048,9273822396,House 48,Warangal,4,Yes,Active
CR0049,Person49,48,Female,XXXX XXXX 1049,9742484300,House 49,Hyderabad,1,Yes,Released
CR0050,Person50,39,Male,XXXX XXXX 1050,9210595434,House 50,Medchal-Malkajgiri,1,No,Released
CR0051,Person51,55,Male,XXXX XXXX 1051,9176304033,House 51,Medchal-Malkajgiri,5,Yes,Released
CR0052,Person52,38,Male,XXXX XXXX 1052,9656221308,House 52,Rangareddy,0,Yes,Released
CR0053,Person53,23,Male,XXXX XXXX 1053,9140743801,House 53,Karimnagar,1,No,Released
CR0054,Person54,33,Male,XXXX XXXX 1054,9009183992,House 54,Rangareddy,3,No,Released
CR0055,Person55,48,Female,XXXX XXXX 1055,9163541452,House 55,Medchal-Malkajgiri,0,Yes,Released
CR0056,Person56,53,Male,XXXX XXXX 1056,9927855725,House 56,Rangareddy,5,Yes,Active
CR0057,Person57,43,Female,XXXX XXXX 1057,9925053687,House 57,Karimnagar,2,Yes,Active
CR0058,Person58,26,Female,XXXX XXXX 1058,9488620713,House 58,Karimnagar,2,No,Active
CR0059,Person59,22,Male,XXXX XXXX 1059,9854564040,House 59,Medchal-Malkajgiri,5,No,Active
CR0060,Person60,56,Male,XXXX XXXX 1060,9550552046,House 60,Warangal,1,No,Released
CR0061,Person61,35,Female,XXXX XXXX 1061,9492960599,House 61,Hyderabad,2,Yes,Released
CR0062,Person62,32,Male,XXXX XXXX 1062,9127316930,House 62,Rangareddy,5,Yes,Released
CR0063,Person63,24,Female,XXXX XXXX 1063,9886476260,House 63,Medchal-Malkajgiri,0,Yes,Released
CR0064,Person64,22,Female,XXXX XXXX 1064,9481604468,House 64,Hyderabad,4,No,Active
CR0065,Person65,53,Male,XXXX XXXX 1065,9368324235,House 65,Hyderabad,0,Yes,Active
CR0066,Person66,53,Male,XXXX XXXX 1066,9496191427,House 66,Rangareddy,4,Yes,Released
CR0067,Person67,37,Male,XXXX XXXX 1067,9042269252,House 67,Warangal,3,Yes,Released
CR0068,Person68,43,Male,XXXX XXXX 1068,9911838571,House 68,Hyderabad,5,No,Released
CR0069,Person69,29,Male,XXXX XXXX 1069,9253865460,House 69,Rangareddy,2,Yes,Released
CR0070,Person70,49,Female,XXXX XXXX 1070,9585318123,House 70,Medchal-Malkajgiri,1,Yes,Released
CR0071,Person71,51,Male,XXXX XXXX 1071,9460076533,House 71,Hyderabad,1,Yes,Active
CR0072,Person72,59,Male,XXXX XXXX 1072,9103742879,House 72,Hyderabad,0,Yes,Active
CR0073,Person73,31,Male,XXXX XXXX 1073,9557647280,House 73,Rangareddy,0,Yes,Released
CR0074,Person74,43,Male,XXXX XXXX 1074,9775914805,House 74,Hyderabad,4,Yes,Active
CR0075,Person75,29,Female,XXXX XXXX 1075,9873612238,House 75,Karimnagar,1,No,Active
CR0076,Person76,55,Male,XXXX XXXX 1076,9882015025,House 76,Hyderabad,5,Yes,Active
CR0077,Person77,25,Female,XXXX XXXX 1077,9891028499,House 77,Warangal,3,Yes,Active
CR0078,Person78,49,Female,XXXX XXXX 1078,9185386288,House 78,Rangareddy,0,Yes,Active
CR0079,Person79,41,Male,XXXX XXXX 1079,9689049229,House 79,Karimnagar,0,Yes,Released
CR0080,Person80,30,Female,XXXX XXXX 1080,9649196997,House 80,Medchal-Malkajgiri,5,No,Released
CR0081,Person81,42,Male,XXXX XXXX 1081,9537160048,House 81,Hyderabad,0,Yes,Released
CR0082,Person82,25,Female,XXXX XXXX 1082,9250480369,House 82,Rangareddy,5,No,Released
CR0083,Person83,51,Female,XXXX XXXX 1083,9331501196,House 83,Karimnagar,3,No,Released
CR0084,Person84,56,Female,XXXX XXXX 1084,9177026111,House 84,Karimnagar,2,Yes,Released
CR0085,Person85,36,Female,XXXX XXXX 1085,9522254484,House 85,Medchal-Malkajgiri,4,Yes,Active
CR0086,Person86,46,Male,XXXX XXXX 1086,9039189327,House 86,Rangareddy,1,No,Active
CR0087,Person87,31,Male,XXXX XXXX 1087,9793275746,House 87,Rangareddy,4,No,Active
CR0088,Person88,59,Male,XXXX XXXX 1088,9848656150,House 88,Rangareddy,2,Yes,Released
CR0089,Person89,53,Male,XXXX XXXX 1089,9258226561,House 89,Medchal-Malkajgiri,3,Yes,Released
CR0090,Person90,38,Male,XXXX XXXX 1090,9622438299,House 90,Medchal-Malkajgiri,4,No,Released
CR0091,Person91,25,Male,XXXX XXXX 1091,9531262432,House 91,Rangareddy,4,No,Active
CR0092,Person92,35,Female,XXXX XXXX 1092,9648653807,House 92,Karimnagar,0,No,Released
CR0093,Person93,28,Male,XXXX XXXX 1093,9898584552,House 93,Karimnagar,3,Yes,Released
CR0094,Person94,21,Female,XXXX XXXX 1094,9765728980,House 94,Rangareddy,1,No,Released
CR0095,Person95,53,Female,XXXX XXXX 1095,9970614362,House 95,Hyderabad,2,Yes,Active
CR0096,Person96,24,Female,XXXX XXXX 1096,9012686351,House 96,Medchal-Malkajgiri,3,No,Active
CR0097,Person97,30,Male,XXXX XXXX 1097,9031203444,House 97,Warangal,5,No,Released
CR0098,Person98,30,Female,XXXX XXXX 1098,9614897732,House 98,Rangareddy,4,Yes,Active
CR0099,Person99,27,Female,XXXX XXXX 1099,9901159662,House 99,Karimnagar,1,No,Active
CR0100,Person100,41,Male,XXXX XXXX 1100,9037897012,House 100,Warangal,4,Yes,Active
CR0101,Person101,59,Male,XXXX XXXX 1101,9755893442,House 101,Medchal-Malkajgiri,2,Yes,Released
CR0102,Person102,36,Female,XXXX XXXX 1102,9234135731,House 102,Hyderabad,0,Yes,Active
CR0103,Person103,60,Female,XXXX XXXX 1103,9004736609,House 103,Warangal,0,Yes,Active
CR0104,Person104,54,Female,XXXX XXXX 1104,9358586147,House 104,Hyderabad,5,No,Active
CR0105,Person105,59,Female,XXXX XXXX 1105,9249047058,House 105,Karimnagar,0,Yes,Released
CR0106,Person106,48,Male,XXXX XXXX 1106,9780926917,House 106,Warangal,0,No,Released
CR0107,Person107,20,Female,XXXX XXXX 1107,9891118949,House 107,Karimnagar,4,Yes,Released
CR0108,Person108,34,Male,XXXX XXXX 1108,9757850058,House 108,Hyderabad,3,Yes,Released
CR0109,Person109,37,Female,XXXX XXXX 1109,9813582025,House 109,Karimnagar,4,No,Active
CR0110,Person110,27,Male,XXXX XXXX 1110,9417731032,House 110,Medchal-Malkajgiri,3,Yes,Active
CR0111,Person111,53,Male,XXXX XXXX 1111,9369888549,House 111,Warangal,1,No,Released
CR0112,Person112,44,Female,XXXX XXXX 1112,9705317247,House 112,Rangareddy,3,No,Released
CR0113,Person113,34,Female,XXXX XXXX 1113,9923608963,House 113,Karimnagar,1,Yes,Released
CR0114,Person114,49,Male,XXXX XXXX 1114,9645231831,House 114,Warangal,4,Yes,Released
CR0115,Person115,46,Female,XXXX XXXX 1115,9882105911,House 115,Warangal,5,No,Active
CR0116,Person116,43,Male,XXXX XXXX 1116,9368553330,House 116,Karimnagar,3,Yes,Active
CR0117,Person117,60,Female,XXXX XXXX 1117,9360132809,House 117,Hyderabad,2,No,Active
CR0118,Person118,54,Female,XXXX XXXX 1118,9949664643,House 118,Hyderabad,4,No,Active
CR0119,Person119,47,Male,XXXX XXXX 1119,9566553861,House 119,Karimnagar,4,No,Active
CR0120,Person120,22,Male,XXXX XXXX 1120,9456961007,House 120,Rangareddy,3,Yes,Active
CR0121,Person121,37,Male,XXXX XXXX 1121,9511790591,House 121,Rangareddy,3,No,Active
CR0122,Person122,47,Female,XXXX XXXX 1122,9554681539,House 122,Medchal-Malkajgiri,1,Yes,Active
CR0123,Person123,44,Female,XXXX XXXX 1123,9046314175,House 123,Hyderabad,5,No,Active
CR0124,Person124,48,Male,XXXX XXXX 1124,9819586500,House 124,Medchal-Malkajgiri,0,No,Active
CR0125,Person125,20,Female,XXXX XXXX 1125,9843724673,House 125,Karimnagar,5,No,Released
CR0126,Person126,22,Male,XXXX XXXX 1126,9849445104,House 126,Medchal-Malkajgiri,1,No,Active
CR0127,Person127,58,Male,XXXX XXXX 1127,9835709896,House 127,Hyderabad,3,Yes,Released
CR0128,Person128,49,Female,XXXX XXXX 1128,9480630526,House 128,Rangareddy,2,No,Released
CR0129,Person129,37,Male,XXXX XXXX 1129,9122918419,House 129,Warangal,0,Yes,Active
CR0130,Person130,20,Male,XXXX XXXX 1130,9108921352,House 130,Rangareddy,2,No,Released
CR0131,Person131,20,Male,XXXX XXXX 1131,9051327103,House 131,Medchal-Malkajgiri,0,Yes,Released
CR0132,Person132,29,Female,XXXX XXXX 1132,9873014316,House 132,Medchal-Malkajgiri,5,Yes,Active
CR0133,Person133,34,Male,XXXX XXXX 1133,9032138924,House 133,Karimnagar,3,Yes,Released
CR0134,Person134,58,Female,XXXX XXXX 1134,9491435902,House 134,Rangareddy,0,Yes,Active
CR0135,Person135,54,Male,XXXX XXXX 1135,9999919444,House 135,Warangal,5,Yes,Released
CR0136,Person136,60,Female,XXXX XXXX 1136,9606031616,House 136,Medchal-Malkajgiri,4,Yes,Active
CR0137,Person137,59,Female,XXXX XXXX 1137,9974683755,House 137,Medchal-Malkajgiri,2,No,Released
CR0138,Person138,31,Female,XXXX XXXX 1138,9596763791,House 138,Medchal-Malkajgiri,0,No,Active
CR0139,Person139,42,Female,XXXX XXXX 1139,9955634194,House 139,Rangareddy,5,Yes,Active
CR0140,Person140,30,Female,XXXX XXXX 1140,9887508235,House 140,Medchal-Malkajgiri,2,No,Released
CR0141,Person141,46,Female,XXXX XXXX 1141,9999046790,House 141,Warangal,4,Yes,Active
CR0142,Person142,40,Male,XXXX XXXX 1142,9823502840,House 142,Warangal,2,Yes,Active
CR0143,Person143,30,Female,XXXX XXXX 1143,9622425634,House 143,Rangareddy,4,Yes,Released
CR0144,Person144,42,Male,XXXX XXXX 1144,9719064483,House 144,Medchal-Malkajgiri,1,No,Active
CR0145,Person145,27,Male,XXXX XXXX 1145,9541500602,House 145,Hyderabad,1,No,Released
CR0146,Person146,55,Male,XXXX XXXX 1146,9241289803,House 146,Warangal,4,No,Released
CR0147,Person147,53,Female,XXXX XXXX 1147,9064426864,House 147,Karimnagar,1,No,Active
CR0148,Person148,27,Female,XXXX XXXX 1148,9204639237,House 148,Karimnagar,0,Yes,Released
CR0149,Person149,38,Male,XXXX XXXX 1149,9590131662,House 149,Rangareddy,1,No,Released
CR0150,Person150,25,Female,XXXX XXXX 1150,9034871114,House 150,Medchal-Malkajgiri,4,No,Released
CR0151,Person151,26,Female,XXXX XXXX 1151,9163261207,House 151,Karimnagar,2,No,Released
CR0152,Person152,34,Male,XXXX XXXX 1152,9095404224,House 152,Karimnagar,0,No,Released
CR0153,Person153,28,Male,XXXX XXXX 1153,9793562965,House 153,Warangal,4,Yes,Released
CR0154,Person154,39,Female,XXXX XXXX 1154,9880721098,House 154,Hyderabad,2,Yes,Active
CR0155,Person155,22,Male,XXXX XXXX 1155,9685547061,House 155,Warangal,4,Yes,Active
CR0156,Person156,39,Male,XXXX XXXX 1156,9521940601,House 156,Hyderabad,4,No,Released
CR0157,Person157,49,Female,XXXX XXXX 1157,9833517666,House 157,Rangareddy,2,No,Active
CR0158,Person158,48,Female,XXXX XXXX 1158,9145256364,House 158,Medchal-Malkajgiri,2,No,Active
CR0159,Person159,26,Male,XXXX XXXX 1159,9558190076,House 159,Hyderabad,1,Yes,Released
CR0160,Person160,58,Male,XXXX XXXX 1160,9736029854,House 160,Warangal,0,Yes,Released
CR0161,Person161,40,Male,XXXX XXXX 1161,9877602684,House 161,Hyderabad,3,No,Released
CR0162,Person162,52,Female,XXXX XXXX 1162,9539497855,House 162,Warangal,2,No,Released
CR0163,Person163,33,Male,XXXX XXXX 1163,9115953603,House 163,Hyderabad,1,No,Active
CR0164,Person164,36,Female,XXXX XXXX 1164,9972942164,House 164,Rangareddy,1,No,Released
CR0165,Person165,36,Male,XXXX XXXX 1165,9503341023,House 165,Hyderabad,5,Yes,Released
CR0166,Person166,49,Male,XXXX XXXX 1166,9029896547,House 166,Rangareddy,5,No,Released
CR0167,Person167,40,Male,XXXX XXXX 1167,9154195745,House 167,Medchal-Malkajgiri,5,Yes,Active
CR0168,Person168,32,Female,XXXX XXXX 1168,9798736916,House 168,Rangareddy,1,Yes,Released
CR0169,Person169,38,Female,XXXX XXXX 1169,9490460883,House 169,Hyderabad,0,Yes,Released
CR0170,Person170,28,Female,XXXX XXXX 1170,9973298109,House 170,Warangal,3,Yes,Active
CR0171,Person171,50,Male,XXXX XXXX 1171,9751649297,House 171,Medchal-Malkajgiri,5,Yes,Released
CR0172,Person172,55,Female,XXXX XXXX 1172,9205041557,House 172,Hyderabad,5,Yes,Active
CR0173,Person173,60,Male,XXXX XXXX 1173,9131203496,House 173,Warangal,0,Yes,Active
CR0174,Person174,51,Female,XXXX XXXX 1174,9667481677,House 174,Medchal-Malkajgiri,3,No,Released
CR0175,Person175,27,Male,XXXX XXXX 1175,9546478020,House 175,Karimnagar,2,No,Active
CR0176,Person176,25,Female,XXXX XXXX 1176,9253538667,House 176,Karimnagar,0,Yes,Released
CR0177,Person177,36,Female,XXXX XXXX 1177,9832657082,House 177,Hyderabad,5,No,Active
CR0178,Person178,58,Female,XXXX XXXX 1178,9117121200,House 178,Karimnagar,5,No,Active
CR0179,Person179,29,Male,XXXX XXXX 1179,9998788482,House 179,Medchal-Malkajgiri,1,Yes,Active
CR0180,Person180,28,Female,XXXX XXXX 1180,9991255513,House 180,Medchal-Malkajgiri,3,Yes,Released
CR0181,Person181,50,Female,XXXX XXXX 1181,9501134891,House 181,Rangareddy,1,Yes,Active
CR0182,Person182,25,Female,XXXX XXXX 1182,9177548282,House 182,Medchal-Malkajgiri,3,No,Released
CR0183,Person183,23,Male,XXXX XXXX 1183,9674749894,House 183,Hyderabad,4,Yes,Active
CR0184,Person184,43,Male,XXXX XXXX 1184,9976723376,House 184,Rangareddy,1,No,Released
CR0185,Person185,48,Male,XXXX XXXX 1185,9576518831,House 185,Hyderabad,3,No,Active
CR0186,Person186,58,Male,XXXX XXXX 1186,9293978315,House 186,Karimnagar,2,No,Active
CR0187,Person187,22,Male,XXXX XXXX 1187,9882548701,House 187,Rangareddy,3,No,Released
CR0188,Person188,48,Male,XXXX XXXX 1188,9945062465,House 188,Hyderabad,3,Yes,Released
CR0189,Person189,22,Male,XXXX XXXX 1189,9945665050,House 189,Warangal,0,Yes,Released
CR0190,Person190,40,Male,XXXX XXXX 1190,9231625820,House 190,Rangareddy,3,Yes,Active
CR0191,Person191,23,Female,XXXX XXXX 1191,9951321112,House 191,Hyderabad,5,No,Released
CR0192,Person192,28,Male,XXXX XXXX 1192,9073202169,House 192,Rangareddy,0,No,Active
CR0193,Person193,38,Female,XXXX XXXX 1193,9931819161,House 193,Karimnagar,2,No,Released
CR0194,Person194,36,Female,XXXX XXXX 1194,9355600251,House 194,Hyderabad,4,Yes,Released
CR0195,Person195,49,Female,XXXX XXXX 1195,9956089986,House 195,Warangal,1,Yes,Active
CR0196,Person196,22,Male,XXXX XXXX 1196,9776718778,House 196,Hyderabad,5,No,Released
CR0197,Person197,52,Male,XXXX XXXX 1197,9280330864,House 197,Medchal-Malkajgiri,5,Yes,Released
CR0198,Person198,24,Male,XXXX XXXX 1198,9939180618,House 198,Karimnagar,0,Yes,Released
CR0199,Person199,45,Male,XXXX XXXX 1199,9306482813,House 199,Medchal-Malkajgiri,0,Yes,Released
CR0200,Person200,45,Female,XXXX XXXX 1200,9761631984,House 200,Rangareddy,3,No,Released
CR0201,Person201,57,Female,XXXX XXXX 1201,9994873068,House 201,Karimnagar,1,No,Active
CR0202,Person202,57,Female,XXXX XXXX 1202,9915047547,House 202,Warangal,5,Yes,Released
CR0203,Person203,22,Female,XXXX XXXX 1203,9362001303,House 203,Medchal-Malkajgiri,2,Yes,Active
CR0204,Person204,39,Female,XXXX XXXX 1204,9799004594,House 204,Hyderabad,3,No,Active
CR0205,Person205,38,Female,XXXX XXXX 1205,9437222109,House 205,Hyderabad,3,Yes,Released
CR0206,Person206,22,Female,XXXX XXXX 1206,9959692261,House 206,Karimnagar,5,No,Active
CR0207,Person207,33,Female,XXXX XXXX 1207,9043792073,House 207,Warangal,4,Yes,Released
CR0208,Person208,20,Female,XXXX XXXX 1208,9763950550,House 208,Karimnagar,4,Yes,Released
CR0209,Person209,39,Male,XXXX XXXX 1209,9912312518,House 209,Medchal-Malkajgiri,0,Yes,Active
CR0210,Person210,28,Female,XXXX XXXX 1210,9548031739,House 210,Hyderabad,5,Yes,Active
CR0211,Person211,50,Male,XXXX XXXX 1211,9646035023,House 211,Medchal-Malkajgiri,2,Yes,Active
CR0212,Person212,46,Male,XXXX XXXX 1212,9461216750,House 212,Karimnagar,2,Yes,Released
CR0213,Person213,28,Male,XXXX XXXX 1213,9060860055,House 213,Hyderabad,1,Yes,Active
CR0214,Person214,21,Male,XXXX XXXX 1214,9403579971,House 214,Rangareddy,1,Yes,Active
CR0215,Person215,46,Male,XXXX XXXX 1215,9395140269,House 215,Karimnagar,3,No,Active
CR0216,Person216,54,Female,XXXX XXXX 1216,9813008571,House 216,Hyderabad,0,Yes,Released
CR0217,Person217,36,Male,XXXX XXXX 1217,9578544408,House 217,Warangal,0,No,Active
CR0218,Person218,47,Female,XXXX XXXX 1218,9397385137,House 218,Medchal-Malkajgiri,0,No,Active
CR0219,Person219,36,Male,XXXX XXXX 1219,9020673275,House 219,Warangal,0,No,Released
CR0220,Person220,28,Male,XXXX XXXX 1220,9981424940,House 220,Hyderabad,2,No,Active
CR0221,Person221,56,Male,XXXX XXXX 1221,9276517437,House 221,Hyderabad,1,Yes,Active
CR0222,Person222,24,Female,XXXX XXXX 1222,9192000639,House 222,Hyderabad,3,No,Active
CR0223,Person223,45,Female,XXXX XXXX 1223,9671760073,House 223,Karimnagar,3,Yes,Active
CR0224,Person224,24,Male,XXXX XXXX 1224,9573865013,House 224,Warangal,0,Yes,Released
CR0225,Person225,36,Female,XXXX XXXX 1225,9921934966,House 225,Medchal-Malkajgiri,2,No,Released
CR0226,Person226,52,Male,XXXX XXXX 1226,9703840043,House 226,Hyderabad,4,Yes,Active
CR0227,Person227,33,Female,XXXX XXXX 1227,9569197527,House 227,Rangareddy,5,Yes,Active
CR0228,Person228,59,Female,XXXX XXXX 1228,9388736933,House 228,Warangal,2,No,Released
CR0229,Person229,48,Male,XXXX XXXX 1229,9995360347,House 229,Rangareddy,5,No,Active
CR0230,Person230,57,Male,XXXX XXXX 1230,9555740852,House 230,Karimnagar,1,No,Released
CR0231,Person231,28,Male,XXXX XXXX 1231,9434287155,House 231,Rangareddy,1,No,Active
CR0232,Person232,48,Male,XXXX XXXX 1232,9105236079,House 232,Warangal,1,No,Active
CR0233,Person233,50,Female,XXXX XXXX 1233,9041460107,House 233,Hyderabad,3,No,Active
CR0234,Person234,28,Female,XXXX XXXX 1234,9449247685,House 234,Medchal-Malkajgiri,0,Yes,Active
CR0235,Person235,51,Female,XXXX XXXX 1235,9659656338,House 235,Karimnagar,2,No,Active
CR0236,Person236,28,Female,XXXX XXXX 1236,9281969753,House 236,Medchal-Malkajgiri,0,Yes,Released
CR0237,Person237,44,Male,XXXX XXXX 1237,9201217518,House 237,Hyderabad,5,No,Active
CR0238,Person238,57,Female,XXXX XXXX 1238,9422362100,House 238,Warangal,5,Yes,Released
CR0239,Person239,36,Male,XXXX XXXX 1239,9058044642,House 239,Medchal-Malkajgiri,1,No,Active
CR0240,Person240,32,Male,XXXX XXXX 1240,9529478780,House 240,Warangal,3,Yes,Active
CR0241,Person241,26,Male,XXXX XXXX 1241,9093234554,House 241,Karimnagar,5,Yes,Active
CR0242,Person242,30,Female,XXXX XXXX 1242,9379944229,House 242,Medchal-Malkajgiri,5,Yes,Active
CR0243,Person243,23,Female,XXXX XXXX 1243,9851498716,House 243,Warangal,3,Yes,Active
CR0244,Person244,46,Male,XXXX XXXX 1244,9405258725,House 244,Medchal-Malkajgiri,5,No,Released
CR0245,Person245,38,Female,XXXX XXXX 1245,9079028350,House 245,Warangal,3,Yes,Released
CR0246,Person246,60,Female,XXXX XXXX 1246,9753603324,House 246,Warangal,2,No,Active
CR0247,Person247,39,Male,XXXX XXXX 1247,9861465584,House 247,Hyderabad,1,No,Active
CR0248,Person248,27,Male,XXXX XXXX 1248,9804936899,House 248,Karimnagar,5,Yes,Released
CR0249,Person249,31,Male,XXXX XXXX 1249,9013577667,House 249,Karimnagar,1,Yes,Active
CR0250,Person250,52,Female,XXXX XXXX 1250,9859561883,House 250,Rangareddy,3,Yes,Released
CR0251,Person251,42,Male,XXXX XXXX 1251,9715886038,House 251,Medchal-Malkajgiri,5,Yes,Released
CR0252,Person252,39,Male,XXXX XXXX 1252,9287401384,House 252,Rangareddy,5,No,Active
CR0253,Person253,59,Female,XXXX XXXX 1253,9551896333,House 253,Medchal-Malkajgiri,5,No,Released
CR0254,Person254,36,Male,XXXX XXXX 1254,9018079700,House 254,Hyderabad,3,No,Active
CR0255,Person255,20,Male,XXXX XXXX 1255,9541701810,House 255,Hyderabad,0,No,Active
CR0256,Person256,48,Male,XXXX XXXX 1256,9915929386,House 256,Hyderabad,1,Yes,Released
CR0257,Person257,38,Male,XXXX XXXX 1257,9955859700,House 257,Warangal,3,Yes,Active
CR0258,Person258,53,Male,XXXX XXXX 1258,9743057179,House 258,Warangal,5,No,Released
CR0259,Person259,20,Female,XXXX XXXX 1259,9777393555,House 259,Warangal,5,Yes,Active
CR0260,Person260,33,Female,XXXX XXXX 1260,9088808383,House 260,Karimnagar,5,No,Active
CR0261,Person261,60,Male,XXXX XXXX 1261,9723915916,House 261,Karimnagar,1,No,Released
CR0262,Person262,26,Male,XXXX XXXX 1262,9618045899,House 262,Medchal-Malkajgiri,0,No,Active
CR0263,Person263,58,Male,XXXX XXXX 1263,9272391322,House 263,Rangareddy,5,No,Active
CR0264,Person264,48,Female,XXXX XXXX 1264,9373044199,House 264,Rangareddy,4,No,Released
CR0265,Person265,45,Female,XXXX XXXX 1265,9584374338,House 265,Hyderabad,5,No,Active
CR0266,Person266,21,Male,XXXX XXXX 1266,9966472420,House 266,Rangareddy,2,Yes,Released
CR0267,Person267,29,Male,XXXX XXXX 1267,9930051315,House 267,Hyderabad,3,Yes,Released
CR0268,Person268,55,Male,XXXX XXXX 1268,9803732571,House 268,Rangareddy,3,Yes,Active
CR0269,Person269,43,Female,XXXX XXXX 1269,9233888985,House 269,Hyderabad,4,Yes,Active
CR0270,Person270,60,Male,XXXX XXXX 1270,9397710174,House 270,Warangal,4,No,Active
CR0271,Person271,34,Male,XXXX XXXX 1271,9429966942,House 271,Karimnagar,2,Yes,Active
CR0272,Person272,47,Female,XXXX XXXX 1272,9014437520,House 272,Hyderabad,5,No,Active
CR0273,Person273,41,Female,XXXX XXXX 1273,9874295279,House 273,Karimnagar,2,No,Released
