Complaint ID,Citizen Name,Phone,Aadhaar,Complaint,AI Classification,Priority,Department,Date,Status
C0058,Citizen58,9547136263,XXXX XXXX 7630,Online scam,Fraud,High,Local Police,2026-04-12,Open
C0059,Citizen59,9135705198,XXXX XXXX 5658,Someone stole my bike,Theft,Medium,Local Police,2026-04-13,Open
C0060,Citizen60,9748973838,XXXX XXXX 6216,Online scam,Fraud,High,Local Police,2026-07-11,Open
C0061,Citizen61,9844154359,XXXX XXXX 5472,Bank account hacked,Cyber Crime,High,Local Police,2026-04-21,Open
C0062,Citizen62,9623039910,XXXX XXXX 9455,Bank account hacked,Cyber Crime,High,Local Police,2026-01-22,Open
C0063,Citizen63,9863723575,XXXX XXXX 5072,My car was stolen,Vehicle Theft,Medium,Local Police,2026-05-20,Open
C0064,Citizen64,9250999445,XXXX XXXX 9121,Bank account hacked,Cyber Crime,High,Local Police,2026-03-19,Open
C0065,Citizen65,9910535550,XXXX XXXX 5233,My car was stolen,Vehicle Theft,Medium,Local Police,2026-05-15,Open
C0066,Citizen66,9798321477,XXXX XXXX 6202,My car was stolen,Vehicle Theft,Medium,Local Police,2026-01-23,Open
C0067,Citizen67,9623576032,XXXX XXXX 6013,Someone stole my bike,Theft,Medium,Local Police,2026-04-26,Open
C0068,Citizen68,9173692726,XXXX XXXX 7048,Someone stole my bike,Theft,Medium,Local Police,2026-07-03,Open
C0069,Citizen69,9926550470,XXXX XXXX 1889,My car was stolen,Vehicle Theft,Medium,Local Police,2026-04-14,Open
C0070,Citizen70,9548890267,XXXX XXXX 4420,Bank account hacked,Cyber Crime,High,Local Police,2026-06-18,Open
C0071,Citizen71,9574821494,XXXX XXXX 8102,Neighbor attacked me,Assault,Medium,Local Police,2026-03-10,Open
C0072,Citizen72,9986857000,XXXX XXXX 7163,Someone stole my bike,Theft,Medium,Local Police,2026-02-03,Open
C0073,Citizen73,9948584037,XXXX XXXX 8374,Online scam,Fraud,High,Local Police,2026-03-05,Open
C0074,Citizen74,9369813725,XXXX XXXX 9235,Neighbor attacked me,Assault,Medium,Local Police,2026-03-05,Open
C0075,Citizen75,9587402851,XXXX XXXX 2738,Online scam,Fraud,High,Local Police,2026-01-09,Open
C0076,Citizen76,9506006209,XXXX XXXX 3770,My car was stolen,Vehicle Theft,Medium,Local Police,2026-06-03,Open
C0077,Citizen77,9185548019,XXXX XXXX 6783,Neighbor attacked me,Assault,Medium,Local Police,2026-06-21,Open
C0078,Citizen78,9832650770,XXXX XXXX 9078,My car was stolen,Vehicle Theft,Medium,Local Police,2026-03-18,Open
C0079,Citizen79,9468840661,XXXX XXXX 1031,Neighbor attacked me,Assault,Medium,Local Police,2026-06-19,Open
C0080,Citizen80,9904750720,XXXX XXXX 7929,My car was stolen,Vehicle Theft,Medium,Local Police,2026-03-02,Open
C0081,Citizen81,9727716727,XXXX XXXX 3131,Neighbor attacked me,Assault,Medium,Local Police,2026-03-01,Open
C0082,Citizen82,9442055666,XXXX XXXX 4200,Bank account hacked,Cyber Crime,High,Local Police,2026-07-01,Open
C0083,Citizen83,9709677166,XXXX XXXX 5346,Someone stole my bike,Theft,Medium,Local Police,2026-01-15,Open
C0084,Citizen84,9520599593,XXXX XXXX 1213,Someone stole my bike,Theft,Medium,Local Police,2026-06-25,Open
C0085,Citizen85,9103477459,XXXX XXXX 9329,Neighbor attacked me,Assault,Medium,Local Police,2026-01-23,Open
C0086,Citizen86,9691708210,XXXX XXXX 1028,Online scam,Fraud,High,Local Police,2026-04-10,Open
C0087,Citizen87,9017230760,XXXX XXXX 5733,Bank account hacked,Cyber Crime,High,Local Police,2026-06-23,Open
C0088,Citizen88,9280349106,XXXX XXXX 4448,Bank account hacked,Cyber Crime,High,Local Police,2026-04-03,Open
C0089,Citizen89,9367045085,XXXX XXXX 9757,Someone stole my bike,Theft,Medium,Local Police,2026-03-10,Open
C0090,Citizen90,9522559984,XXXX XXXX 9124,Neighbor attacked me,Assault,Medium,Local Police,2026-05-16,Open
C0091,Citizen91,9151448862,XXXX XXXX 6441,Someone stole my bike,Theft,Medium,Local Police,2026-01-05,Open
C0092,Citizen92,9757268798,XXXX XXXX 3817,Someone stole my bike,Theft,Medium,Local Police,2026-03-07,Open
C0093,Citizen93,9332119320,XXXX XXXX 3455,Bank account hacked,Cyber Crime,High,Local Police,2026-04-18,Open
C0094,Citizen94,9235678343,XXXX XXXX 1082,Bank account hacked,Cyber Crime,High,Local Police,2026-05-09,Open
C0095,Citizen95,9818103238,XXXX XXXX 3324,My car was stolen,Vehicle Theft,Medium,Local Police,2026-06-21,Open
C0096,Citizen96,9021083347,XXXX XXXX 4828,Someone stole my bike,Theft,Medium,Local Police,2026-03-25,Open
C0097,Citizen97,9937269075,XXXX XXXX 2143,Online scam,Fraud,High,Local Police,2026-05-23,Open
C0098,Citizen98,9475904712,XXXX XXXX 6015,Online scam,Fraud,High,Local Police,2026-06-16,Open
C0099,Citizen99,9623660630,XXXX XXXX 4791,Neighbor attacked me,Assault,Medium,Local Police,2026-06-26,Open
C0100,Citizen100,9904144813,XXXX XXXX 1030,Bank account hacked,Cyber Crime,High,Local Police,2026-04-08,Open
C0101,Citizen101,9568509562,XXXX XXXX 9564,Someone stole my bike,Theft,Medium,Local Police,2026-03-21,Open
C0102,Citizen102,9377600748,XXXX XXXX 8443,My car was stolen,Vehicle Theft,Medium,Local Police,2026-03-25,Open
C0103,Citizen103,9989501238,XXXX XXXX 7369,Someone stole my bike,Theft,Medium,Local Police,2026-01-23,Open
C0104,Citizen104,9139225273,XXXX XXXX 5488,My car was stolen,Vehicle Theft,Medium,Local Police,2026-04-14,Open
C0105,Citizen105,9365779066,XXXX XXXX 5147,Someone stole my bike,Theft,Medium,Local Police,2026-02-06,Open
C0106,Citizen106,9103408918,XXXX XXXX 1998,Neighbor attacked me,Assault,Medium,Local Police,2026-05-01,Open
C0107,Citizen107,9236558478,XXXX XXXX 9583,Neighbor attacked me,Assault,Medium,Local Police,2026-02-06,Open
C0108,Citizen108,9314275027,XXXX XXXX 7828,Bank account hacked,Cyber Crime,High,Local Police,2026-03-13,Open
C0109,Citizen109,9932759293,XXXX XXXX 1496,My car was stolen,Vehicle Theft,Medium,Local Police,2026-01-01,Open
C0110,Citizen110,9369192304,XXXX XXXX 9266,Someone stole my bike,Theft,Medium,Local Police,2026-02-24,Open
C0111,Citizen111,9785025291,XXXX XXXX 9635,Someone stole my bike,Theft,Medium,Local Police,2026-01-12,Open
C0112,Citizen112,9236451995,XXXX XXXX 8162,Someone stole my bike,Theft,Medium,Local Police,2026-03-13,Open
C0113,Citizen113,9017112920,XXXX XXXX 6954,Bank account hacked,Cyber Crime,High,Local Police,2026-05-17,Open
C0114,Citizen114,9643774067,XXXX XXXX 9810,Bank account hacked,Cyber Crime,High,Local Police,2026-07-07,Open
C0115,Citizen115,9716953868,XXXX XXXX 7987,Someone stole my bike,Theft,Medium,Local Police,2026-05-14,Open
C0116,Citizen116,9513270849,XXXX XXXX 2483,Online scam,Fraud,High,Local Police,2026-05-05,Open
C0117,Citizen117,9275069966,XXXX XXXX 6245,Someone stole my bike,Theft,Medium,Local Police,2026-07-07,Open
C0118,Citizen118,9236222149,XXXX XXXX 2715,My car was stolen,Vehicle Theft,Medium,Local Police,2026-01-23,Open
C0119,Citizen119,9371847467,XXXX XXXX 6594,Bank account hacked,Cyber Crime,High,Local Police,2026-03-20,Open
C0120,Citizen120,9766468178,XXXX XXXX 1636,Online scam,Fraud,High,Local Police,2026-02-21,Open
C0121,Citizen121,9264902803,XXXX XXXX 3657,Neighbor attacked me,Assault,Medium,Local Police,2026-06-26,Open
C0122,Citizen122,9735396857,XXXX XXXX 7960,My car was stolen,Vehicle Theft,Medium,Local Police,2026-01-14,Open
C0123,Citizen123,9993277067,XXXX XXXX 9918,Bank account hacked,Cyber Crime,High,Local Police,2026-01-06,Open
C0124,Citizen124,9342600277,XXXX XXXX 2560,My car was stolen,Vehicle Theft,Medium,Local Police,2026-05-28,Open
C0125,Citizen125,9706507504,XXXX XXXX 2407,Someone stole my bike,Theft,Medium,Local Police,2026-07-27,Open
C0126,Citizen126,9143030523,XXXX XXXX 8095,Online scam,Fraud,High,Local Police,2026-06-12,Open
C0127,Citizen127,9062223649,XXXX XXXX 5224,Bank account hacked,Cyber Crime,High,Local Police,2026-02-17,Open
C0128,Citizen128,9905505023,XXXX XXXX 9076,Bank account hacked,Cyber Crime,High,Local Police,2026-07-12,Open
C0129,Citizen129,9258796151,XXXX XXXX 9277,Neighbor attacked me,Assault,Medium,Local Police,2026-02-26,Open
C0130,Citizen130,9671106877,XXXX XXXX 8617,Bank account hacked,Cyber Crime,High,Local Police,2026-03-22,Open
C0131,Citizen131,9492553231,XXXX XXXX 1073,Someone stole my bike,Theft,Medium,Local Police,2026-07-26,Open
C0132,Citizen132,9621654866,XXXX XXXX 2378,Bank account hacked,Cyber Crime,High,Local Police,2026-01-24,Open
C0133,Citizen133,9876539805,XXXX XXXX 6692,Online scam,Fraud,High,Local Police,2026-02-05,Open
C0134,Citizen134,9664952582,XXXX XXXX 6927,Online scam,Fraud,High,Local Police,2026-03-26,Open
C0135,Citizen135,9742308722,XXXX XXXX 6841,My car was stolen,Vehicle Theft,Medium,Local Police,2026-05-07,Open
C0136,Citizen136,9792038048,XXXX XXXX 9851,My car was stolen,Vehicle Theft,Medium,Local Police,2026-04-25,Open
C0137,Citizen137,9102140431,XXXX XXXX 3200,Someone stole my bike,Theft,Medium,Local Police,2026-01-23,Open
C0138,Citizen138,9122336713,XXXX XXXX 7721,Online scam,Fraud,High,Local Police,2026-06-09,Open
C0139,Citizen139,9152366266,XXXX XXXX 2759,My car was stolen,Vehicle Theft,Medium,Local Police,2026-05-06,Open
C0140,Citizen140,9842607945,XXXX XXXX 7826,My car was stolen,Vehicle Theft,Medium,Local Police,2026-04-02,Open
C0141,Citizen141,9488831115,XXXX XXXX 4058,Online scam,Fraud,High,Local Police,2026-07-21,Open
C0142,Citizen142,9399376919,XXXX XXXX 4262,Neighbor attacked me,Assault,Medium,Local Police,2026-04-26,Open
C0143,Citizen143,9893005869,XXXX XXXX 8625,Online scam,Fraud,High,Local Police,2026-02-18,Open
C0144,Citizen144,9548681524,XXXX XXXX 5548,Neighbor attacked me,Assault,Medium,Local Police,2026-01-09,Open
C0145,Citizen145,9724921207,XXXX XXXX 2906,Online scam,Fraud,High,Local Police,2026-07-20,Open
C0146,Citizen146,9596670191,XXXX XXXX 9775,Someone stole my bike,Theft,Medium,Local Police,2026-05-16,Open
C0147,Citizen147,9068325048,XXXX XXXX 5175,Bank account hacked,Cyber Crime,High,Local Police,2026-05-12,Open
C0148,Citizen148,9913665202,XXXX XXXX 7282,Online scam,Fraud,High,Local Police,2026-03-15,Open
C0149,Citizen149,9689052125,XXXX XXXX 7645,My car was stolen,Vehicle Theft,Medium,Local Police,2026-06-21,Open
C0150,Citizen150,9580907970,XXXX XXXX 8497,Someone stole my bike,Theft,Medium,Local Police,2026-06-15,Open
C0151,Citizen151,9965049633,XXXX XXXX 5178,Bank account hacked,Cyber Crime,High,Local Police,2026-05-01,Open
C0152,Citizen152,9691053684,XXXX XXXX 6672,Bank account hacked,Cyber Crime,High,Local Police,2026-07-26,Open
C0153,Citizen153,9700352779,XXXX XXXX 3163,Bank account hacked,Cyber Crime,High,Local Police,2026-06-05,Open
C0154,Citizen154,9813350066,XXXX XXXX 4309,Neighbor attacked me,Assault,Medium,Local Police,2026-01-26,Open
C0155,Citizen155,9140711064,XXXX XXXX 6707,Neighbor attacked me,Assault,Medium,Local Police,2026-06-24,Open
C0156,Citizen156,9158082604,XXXX XXXX 4643,My car was stolen,Vehicle Theft,Medium,Local Police,2026-03-15,Open
C0157,Citizen157,9397230416,XXXX XXXX 3777,Neighbor attacked me,Assault,Medium,Local Police,2026-02-08,Open
C0158,Citizen158,9476766954,XXXX XXXX 9317,My car was stolen,Vehicle Theft,Medium,Local Police,2026-06-06,Open
C0159,Citizen159,9785639408,XXXX XXXX 5654,Someone stole my bike,Theft,Medium,Local Police,2026-05-24,Open
C0160,Citizen160,9177214890,XXXX XXXX 4680,Bank account hacked,Cyber Crime,High,Local Police,2026-06-23,Open
C0161,Citizen161,9890582415,XXXX XXXX 7146,Online scam,Fraud,High,Local Police,2026-01-27,Open
C0162,Citizen162,9263819206,XXXX XXXX 3422,My car was stolen,Vehicle Theft,Medium,Local Police,2026-03-18,Open
C0163,Citizen163,9852839532,XXXX XXXX 2892,Neighbor attacked me,Assault,Medium,Local Police,2026-04-01,Open
C0164,Citizen164,9867384297,XXXX XXXX 6793,Bank account hacked,Cyber Crime,High,Local Police,2026-02-25,Open
C0165,Citizen165,9712877005,XXXX XXXX 9858,Online scam,Fraud,High,Local Police,2026-01-12,Open
C0166,Citizen166,9266336007,XXXX XXXX 2301,My car was stolen,Vehicle Theft,Medium,Local Police,2026-05-20,Open
C0167,Citizen167,9148109023,XXXX XXXX 5579,Someone stole my bike,Theft,Medium,Local Police,2026-01-11,Open
C0168,Citizen168,9457887597,XXXX XXXX 1333,Someone stole my bike,Theft,Medium,Local Police,2026-02-18,Open
C0169,Citizen169,9845303865,XXXX XXXX 1764,Neighbor attacked me,Assault,Medium,Local Police,2026-06-18,Open
C0170,Citizen170,9764023626,XXXX XXXX 8492,Someone stole my bike,Theft,Medium,Local Police,2026-06-02,Open
C0171,Citizen171,9452407498,XXXX XXXX 9716,My car was stolen,Vehicle Theft,Medium,Local Police,2026-04-14,Open
C0172,Citizen172,9535807538,XXXX XXXX 3176,Someone stole my bike,Theft,Medium,Local Police,2026-02-24,Open
C0173,Citizen173,9195641587,XXXX XXXX 3525,Online scam,Fraud,High,Local Police,2026-02-09,Open
C0174,Citizen174,9584682851,XXXX XXXX 3634,Online scam,Fraud,High,Local Police,2026-02-15,Open
C0175,Citizen175,9759564658,XXXX XXXX 3468,My car was stolen,Vehicle Theft,Medium,Local Police,2026-05-17,Open
C0176,Citizen176,9619819264,XXXX XXXX 7426,My car was stolen,Vehicle Theft,Medium,Local Police,2026-01-08,Open
C0177,Citizen177,9895866605,XXXX XXXX 5896,Someone stole my bike,Theft,Medium,Local Police,2026-05-17,Open
C0178,Citizen178,9146028369,XXXX XXXX 4018,My car was stolen,Vehicle Theft,Medium,Local Police,2026-04-14,Open
C0179,Citizen179,9934660383,XXXX XXXX 4621,Online scam,Fraud,High,Local Police,2026-05-02,Open
C0180,Citizen180,9600516781,XXXX XXXX 8463,My car was stolen,Vehicle Theft,Medium,Local Police,2026-04-18,Open
C0181,Citizen181,9449610660,XXXX XXXX 5472,Neighbor attacked me,Assault,Medium,Local Police,2026-02-17,Open
C0182,Citizen182,9926156430,XXXX XXXX 6988,Online scam,Fraud,High,Local Police,2026-07-21,Open
C0183,Citizen183,9753536175,XXXX XXXX 8811,Someone stole my bike,Theft,Medium,Local Police,2026-01-27,Open
C0184,Citizen184,9118968695,XXXX XXXX 2598,Bank account hacked,Cyber Crime,High,Local Police,2026-02-14,Open
C0185,Citizen185,9235551351,XXXX XXXX 8542,Online scam,Fraud,High,Local Police,2026-01-05,Open
C0186,Citizen186,9991683719,XXXX XXXX 7961,Neighbor attacked me,Assault,Medium,Local Police,2026-06-05,Open
C0187,Citizen187,9677751085,XXXX XXXX 9676,My car was stolen,Vehicle Theft,Medium,Local Police,2026-01-18,Open
C0188,Citizen188,9408488866,XXXX XXXX 9126,Neighbor attacked me,Assault,Medium,Local Police,2026-01-12,Open
C0189,Citizen189,9148074712,XXXX XXXX 9949,Bank account hacked,Cyber Crime,High,Local Police,2026-05-21,Open
C0190,Citizen190,9749526268,XXXX XXXX 1499,Someone stole my bike,Theft,Medium,Local Police,2026-03-01,Open
C0191,Citizen191,9165586327,XXXX XXXX 3179,My car was stolen,Vehicle Theft,Medium,Local Police,2026-07-07,Open
C0192,Citizen192,9829625937,XXXX XXXX 2662,Bank account hacked,Cyber Crime,High,Local Police,2026-01-04,Open
C0193,Citizen193,9474346653,XXXX XXXX 9453,Bank account hacked,Cyber Crime,High,Local Police,2026-02-05,Open
C0194,Citizen194,9819310390,XXXX XXXX 9253,Someone stole my bike,Theft,Medium,Local Police,2026-07-02,Open
C0195,Citizen195,9608106239,XXXX XXXX 6901,Someone stole my bike,Theft,Medium,Local Police,2026-01-09,Open
C0196,Citizen196,9866095886,XXXX XXXX 2237,Someone stole my bike,Theft,Medium,Local Police,2026-07-12,Open
C0197,Citizen197,9927587218,XXXX XXXX 1516,My car was stolen,Vehicle Theft,Medium,Local Police,2026-02-10,Open
C0198,Citizen198,9159644199,XXXX XXXX 5754,Online scam,Fraud,High,Local Police,2026-03-25,Open
C0199,Citizen199,9776559171,XXXX XXXX 2159,My car was stolen,Vehicle Theft,Medium,Local Police,2026-03-05,Open
C0200,Citizen200,9238070209,XXXX XXXX 5856,Neighbor attacked me,Assault,Medium,Local Police,2026-02-19,Open
C0201,Citizen201,9451649468,XXXX XXXX 2042,Neighbor attacked me,Assault,Medium,Local Police,2026-04-14,Open
C0202,Citizen202,9573508324,XXXX XXXX 9103,Neighbor attacked me,Assault,Medium,Local Police,2026-04-15,Open
C0203,Citizen203,9554446415,XXXX XXXX 6341,Neighbor attacked me,Assault,Medium,Local Police,2026-07-16,Open
C0204,Citizen204,9995811025,XXXX XXXX 8670,Someone stole my bike,Theft,Medium,Local Police,2026-03-14,Open
C0205,Citizen205,9448079984,XXXX XXXX 9904,Online scam,Fraud,High,Local Police,2026-01-19,Open
C0206,Citizen206,9969942691,XXXX XXXX 2154,Online scam,Fraud,High,Local Police,2026-06-04,Open
C0207,Citizen207,9387222544,XXXX XXXX 2950,Bank account hacked,Cyber Crime,High,Local Police,2026-05-28,Open
C0208,Citizen208,9947649138,XXXX XXXX 5284,Neighbor attacked me,Assault,Medium,Local Police,2026-04-27,Open
C0209,Citizen209,9289956948,XXXX XXXX 7268,Online scam,Fraud,High,Local Police,2026-04-07,Open
C0210,Citizen210,9053967247,XXXX XXXX 9326,Someone stole my bike,Theft,Medium,Local Police,2026-03-08,Open
C0211,Citizen211,9218623561,XXXX XXXX 8995,Online scam,Fraud,High,Local Police,2026-07-15,Open
C0212,Citizen212,9054808753,XXXX XXXX 8927,Online scam,Fraud,High,Local Police,2026-07-13,Open
C0213,Citizen213,9881435989,XXXX XXXX 7483,Someone stole my bike,Theft,Medium,Local Police,2026-02-14,Open
C0214,Citizen214,9530031714,XXXX XXXX 7379,Online scam,Fraud,High,Local Police,2026-01-21,Open
C0215,Citizen215,9943973575,XXXX XXXX 3396,Bank account hacked,Cyber Crime,High,Local Police,2026-01-16,Open
C0216,Citizen216,9686718160,XXXX XXXX 2477,Bank account hacked,Cyber Crime,High,Local Police,2026-06-27,Open
C0217,Citizen217,9656696959,XXXX XXXX 3222,Someone stole my bike,Theft,Medium,Local Police,2026-02-27,Open
C0218,Citizen218,9468039023,XXXX XXXX 4799,Someone stole my bike,Theft,Medium,Local Police,2026-06-25,Open
C0219,Citizen219,9743467494,XXXX XXXX 4255,Someone stole my bike,Theft,Medium,Local Police,2026-07-16,Open
C0220,Citizen220,9409810854,XXXX XXXX 4695,Online scam,Fraud,High,Local Police,2026-05-05,Open
C0221,Citizen221,9698041442,XXXX XXXX 1346,Neighbor attacked me,Assault,Medium,Local Police,2026-01-07,Open
C0222,Citizen222,9253406286,XXXX XXXX 3152,My car was stolen,Vehicle Theft,Medium,Local Police,2026-02-03,Open
C0223,Citizen223,9342850342,XXXX XXXX 7750,Someone stole my bike,Theft,Medium,Local Police,2026-02-27,Open
C0224,Citizen224,9905467196,XXXX XXXX 5416,Someone stole my bike,Theft,Medium,Local Police,2026-06-28,Open
C0225,Citizen225,9860852787,XXXX XXXX 3388,My car was stolen,Vehicle Theft,Medium,Local Police,2026-03-07,Open
C0226,Citizen226,9937029728,XXXX XXXX 4521,Neighbor attacked me,Assault,Medium,Local Police,2026-02-01,Open
C0227,Citizen227,9216650417,XXXX XXXX 6594,Online scam,Fraud,High,Local Police,2026-02-11,Open
C0228,Citizen228,9231562808,XXXX XXXX 8593,Online scam,Fraud,High,Local Police,2026-01-18,Open
C0229,Citizen229,9605713803,XXXX XXXX 2210,My car was stolen,Vehicle Theft,Medium,Local Police,2026-05-14,Open
C0230,Citizen230,9025229751,XXXX XXXX 5070,My car was stolen,Vehicle Theft,Medium,Local Police,2026-02-09,Open
C0231,Citizen231,9663873543,XXXX XXXX 4960,Online scam,Fraud,High,Local Police,2026-01-26,Open
C0232,Citizen232,9074561118,XXXX XXXX 5487,My car was stolen,Vehicle Theft,Medium,Local Police,2026-01-07,Open
C0233,Citizen233,9295793734,XXXX XXXX 1109,Someone stole my bike,Theft,Medium,Local Police,2026-06-19,Open
C0234,Citizen234,9108623036,XXXX XXXX 3166,Neighbor attacked me,Assault,Medium,Local Police,2026-07-04,Open
C0235,Citizen235,9658891592,XXXX XXXX 1468,Online scam,Fraud,High,Local Police,2026-05-06,Open
